  CONTADOR DE VACANTES,,,,,,,,,,,,,,,,,,
  ■ Pendientes (rojo)  ■ Cubiertas (verde)  ■ GT (naranja) = gerencial  ★ fila dorada = gerencial  ▶ expandir = ver más locales,,,,,,,,,,,,,,,,,,
↻  Actualizado: 12/06/2026  12:05,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
  🥐  SABORES EXPRESS,,,,,,,,,,  🍔  HAMBURGUESAS EXTREMAS,,,,,,,,
Local,Total,Pendientes,Cubiertas,% Cumpl.,ETM,ETR,ETN,GT,,Local,Total,Pendientes,Cubiertas,% Cumpl.,ETM,ETR,ETN,GT
SAAVEDRA,4,3,1,25%,,,,,,APER MATADEROS,17,8,9,53%,,1,,
SANTA FE,5,2,3,60%,,,,,,CASEROS,4,4,0,0%,,,,
OLIVOS,3,2,1,33%,,,,,,LAFERRERE,5,2,3,60%,,,,
PACHECO 2,3,2,1,33%,,,,,,APER PALOMAR,5,2,3,60%,,,,
BELGRANO,3,2,1,33%,,,,,,OLIVOS,5,2,3,60%,,,,
  ▼  62 locales más  (usar ▶ para expandir),,,,,,,,,,  ▼  34 locales más  (usar ▶ para expandir),,,,,,,,
URQUIZA,2,2,0,0%,,,,,,PUEYRREDON,4,2,2,50%,,,,
SAN ISDIRO 2,2,2,0,0%,,,,,,MUNRO,4,2,2,50%,,,,
SAN ISIDRO 1,2,2,0,0%,,,,,,BOULOGNE,4,2,2,50%,,,,
BOULOGNE,2,2,0,0%,,,,,,CABALLITO,3,2,1,33%,,,,
APER MARTINEZ,3,1,2,67%,,,,,,FLORES 2,3,2,1,33%,,,1,
APER CONSTITUCION,3,1,2,67%,,,,,,LINIERS,2,2,0,0%,,1,,
ESCOBAR,3,1,2,67%,,,,,,VIRREYES,2,2,0,0%,,,,
LINIERS 1,3,1,2,67%,,,,,,SAN ISIDRO,2,2,0,0%,,,,
LOMA HERMOSA,2,1,1,50%,,,,1,,PILAR,5,1,4,80%,,,,
MDQ 1,2,1,1,50%,,,,,,TUCUMAN,4,1,3,75%,,,2,1
POMPEYA,2,1,1,50%,,,,,,PELLEGRINI,3,1,2,67%,,,,
BALLESTER 2,2,1,1,50%,,,,,,SAN FERNANDO,3,1,2,67%,,,,
CORRIENTES 4,2,1,1,50%,,,,,,ADELINA,3,1,2,67%,,,,
PELLEGRINI,2,1,1,50%,,,,,,ALBERTI,2,1,1,50%,,,1,
CORRIENTES 3,2,1,1,50%,,,,,,FLORIDA,2,1,1,50%,,,,
CORRIENTES 1,1,1,0,0%,,,,,,VILLA ADELINA,1,1,0,0%,,,1,
FLORIDA,1,1,0,0%,,,,,,CROVARA,1,1,0,0%,,,,
CABALLITO 1,1,1,0,0%,,,,,,FLORES 1,1,1,0,0%,,,,
APER ITUZAINGO,1,1,0,0%,,,,,,PACHECO,1,1,0,0%,,,,
ZARATE,1,1,0,0%,,,,,,MERLO,4,0,4,100%,,,,
SAN FERNANDO,1,1,0,0%,,,,,,GARIN,4,0,4,100%,,,,
MUNRO,1,1,0,0%,,,,,,MORENO,3,0,3,100%,,,,
CIUDADELA,1,1,0,0%,,,,,,ONCE,3,0,3,100%,,,,
BOEDO,1,1,0,0%,,,,,,ZARATE,3,0,3,100%,,,,
TIGRE,1,1,0,0%,,,,,,CASTELAR,2,0,2,100%,,,,
VICENTE LOPEZ,1,1,0,0%,,,,,,JCP,2,0,2,100%,,,,
PACHECO 1,1,1,0,0%,,,,,,ROSARIO,2,0,2,100%,,,,
GARIN,1,1,0,0%,,,,,,EXTREMAS LANUS,1,0,1,100%,,,,
LEZAMA,1,1,0,0%,,,1,,,glew,1,0,1,100%,,,,
MONTE 1,3,0,3,100%,,,,,,GLEW,1,0,1,100%,,,,
EZEIZA,3,0,3,100%,,,,,,TALAR,1,0,1,100%,,,,
TRISTAN SUAREZ,3,0,3,100%,,,1,,,TEMPERLEY,1,0,1,100%,,,,
ROSARIO 3,3,0,3,100%,,,,,,MORON,1,0,1,100%,,,,
LANUS 1,3,0,3,100%,,,1,,,SAN JUSTO,1,0,1,100%,,,,
LAVALLE 1,3,0,3,100%,,,,,,,,,,,,,,
HURLINGHAM  2,2,0,2,100%,,,,,,,,,,,,,,
PALOMAR,2,0,2,100%,,,,,,,,,,,,,,
SAN JUSTO 2,2,0,2,100%,,,,,,,,,,,,,,
MONTE 2,2,0,2,100%,,,,,,,,,,,,,,
LOMAS 5,2,0,2,100%,,,,,,,,,,,,,,
ROSARIO 2,2,0,2,100%,,,,,,,,,,,,,,
VARELA 1,2,0,2,100%,,,,,,,,,,,,,,
MDQ 5,2,0,2,100%,,,,,,,,,,,,,,
VIRREYES,2,0,2,100%,,,,,,,,,,,,,,
SAN MIGUEL 2,1,0,1,100%,,,,,,,,,,,,,,
CASEROS 2,1,0,1,100%,,,,,,,,,,,,,,
SAN JUSTO 1,1,0,1,100%,,,,,,,,,,,,,,
BERA 1,1,0,1,100%,,,,,,,,,,,,,,
TEMPERLEY 2,1,0,1,100%,,,,,,,,,,,,,,
BANFIELD,1,0,1,100%,,,,,,,,,,,,,,
JAGUEL,1,0,1,100%,,,,,,,,,,,,,,
MDQ 2,1,0,1,100%,,,,,,,,,,,,,,
LAFERRERE 1,1,0,1,100%,,,,,,,,,,,,,,
SAN MARTIN 2,1,0,1,100%,,,,,,,,,,,,,,
CLAYPOLE,1,0,1,100%,,,,,,,,,,,,,,
ADROGUE,1,0,1,100%,,,,,,,,,,,,,,
VARELA 2,1,0,1,100%,,,,1,,,,,,,,,,
SOURDEAUX,1,0,1,100%,,,,,,,,,,,,,,
QUILMES 1,1,0,1,100%,,,,,,,,,,,,,,
CRUCE VARELA,1,0,1,100%,,,,,,,,,,,,,,
GERLI,1,0,1,100%,,,,,,,,,,,,,,
TAPIALES,1,0,1,100%,,,,,,,,,,,,,,
TOTAL,120,44,76,63%,,,3,2,,TOTAL,116,45,71,61%,,2,5,1
,,,,,,,,,,,,,,,,,,
  📋  RESUMEN POR CAPACITADOR,,,,,,,,,,,,,,,,,,
Capacitador,Total vacantes,Cubiertas,Restantes,% Cumplimiento,,,,,,,,,,,,,,
