  CONTADOR DE VACANTES,,,,,,,,,,,,,,,,,,
  ■ Pendientes (rojo)  ■ Cubiertas (verde)  ■ GT (naranja) = gerencial  ★ fila dorada = gerencial  ▶ expandir = ver más locales,,,,,,,,,,,,,,,,,,
↻  Actualizado: 19/06/2026  22:24,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
  🥐  SABORES EXPRESS,,,,,,,,,,  🍔  HAMBURGUESAS EXTREMAS,,,,,,,,
Local,Total,Pendientes,Cubiertas,% Cumpl.,ETM,ETR,ETN,GT,,Local,Total,Pendientes,Cubiertas,% Cumpl.,ETM,ETR,ETN,GT
OLIVOS,2,2,0,0%,,,,,,APER MATADEROS,8,4,4,50%,,1,,
SAAVEDRA,2,2,0,0%,,,,,,SAN ISIDRO,2,2,0,0%,,,,
CHILAVERT,7,1,6,86%,,,,,,APER PALOMAR,4,1,3,75%,,,,1
BELGRANO,6,1,5,83%,,,,,,OBELISCO,3,1,2,67%,,,,
MUNRO,4,1,3,75%,,,,,,OLIVOS,3,1,2,67%,,,,
  ▼  65 locales más  (usar ▶ para expandir),,,,,,,,,,  ▼  42 locales más  (usar ▶ para expandir),,,,,,,,
ENTRE RIOS,2,1,1,50%,,,,,,PUEYRREDON,2,1,1,50%,,,,
BARRACAS,2,1,1,50%,,,,,,BOULOGNE,2,1,1,50%,,,,
CORRIENTES 4,2,1,1,50%,,,,,,LINIERS,2,1,1,50%,,1,,
CIUDADELA,2,1,1,50%,,,,,,VICENTE LOPEZ,1,1,0,0%,,,,
LINIERS 1,2,1,1,50%,,,,,,FLORIDA,1,1,0,0%,,,,
SAN MARTIN 2,1,1,0,0%,,,,,,PILAR,5,0,5,100%,,,,
CORRIENTES 1,1,1,0,0%,,,,,,ALBERTI,5,0,5,100%,,,1,
LINIERS 2,1,1,0,0%,,,,,,FLORES 2,4,0,4,100%,,,,
VICENTE LOPEZ,1,1,0,0%,,,,,,WILDE,3,0,3,100%,,,,
URQUIZA,5,0,5,100%,,,,,,SAN JUSTO,3,0,3,100%,,,,
LAVALLE 1,4,0,4,100%,,,,,,JCP,3,0,3,100%,,,,
GRAND BOURG,3,0,3,100%,,,,,,SAN MIGUEL,3,0,3,100%,,,,
LANUS 1 / 3,3,0,3,100%,,,,,,LAFERRERE,2,0,2,100%,,,,
CABALLITO 1,3,0,3,100%,,,,,,GRAND BOURG,2,0,2,100%,,,,
RODRIGUEZ,3,0,3,100%,,,,,,CASTELAR,2,0,2,100%,,,,
MERLO 2,3,0,3,100%,,,,,,TUCUMAN,2,0,2,100%,,,,1
MONTE 2,2,0,2,100%,,,,,,SOLANO,2,0,2,100%,,,,
TRISTAN SUAREZ,2,0,2,100%,,,1,,,FLORES 1,2,0,2,100%,,,,
MERLO 3,2,0,2,100%,,,,,,PACHECO,2,0,2,100%,,,,
LOMA HERMOSA,2,0,2,100%,,,,1,,ONCE,2,0,2,100%,,,,
MORON 2,2,0,2,100%,,,,,,LOS POLVORINES,2,0,2,100%,,,,
MORON 3,2,0,2,100%,,,,,,GARIN,1,0,1,100%,,,,
MORENO 1,2,0,2,100%,,,,,,ROSARIO,1,0,1,100%,,,,
CORRIENTES 2,2,0,2,100%,1,,,,,CASEROS,1,0,1,100%,,,,
LUJAN,2,0,2,100%,,,,,,ADROGUE,1,0,1,100%,,,,
CASTILLO,2,0,2,100%,,,,,,AVELLANEDA,1,0,1,100%,,,,
RAMOS 1,2,0,2,100%,,,,,,VARELA,1,0,1,100%,,,,
DEL VISO,2,0,2,100%,,,,,,MORÓN,1,0,1,100%,,,,
RAMOS 3,2,0,2,100%,,,,,,VIRREYES,1,0,1,100%,,,,
LAFERRERE 1,1,0,1,100%,,,1,,,CALLAO,1,0,1,100%,,,,
BERAZATEGUI 2,1,0,1,100%,,,,,,MERLO,1,0,1,100%,,,,
W. MORRIS,1,0,1,100%,,,,,,TEMPERLEY,1,0,1,100%,,,,
RAMOS 2,1,0,1,100%,,,,,,BANFIELD,1,0,1,100%,,,,
LEZAMA,1,0,1,100%,,,1,,,MONTE GRANDE,1,0,1,100%,,,,
LANUS 1,1,0,1,100%,,,1,,,LOMAS,1,0,1,100%,,,,
MDQ 1,1,0,1,100%,,,,,,SAN FERNANDO,1,0,1,100%,,,,
MDQ 2,1,0,1,100%,,,,,,RAMOS,1,0,1,100%,,,,
MDQ 5,1,0,1,100%,,,,,,ADELINA,1,0,1,100%,,,,
